,Close,High,Open,Low
115,0.30158065058962363,0.2614826071613097,0.30973764186892516,0.30533978477371226
116,0.31651169673695323,0.2661689076529996,0.3167214005377609,0.31485430603096315
117,0.3268876695530462,0.28067387737885235,0.32888897733304817,0.33501407556775814
118,0.34060986262652326,0.2923078716524292,0.33884034308957156,0.34870920699826485
119,0.35333021067251524,0.3038933372166019,0.35193594061344036,0.3612902696544497
120,0.3643102087210357,0.3155088120772191,0.3639501520164715,0.37463133982661484
121,0.3753208498903972,0.3262481943382529,0.37463384876765154,0.38623172006526996
122,0.38582813966769536,0.3364712999217308,0.3852786733292871,0.3973001759746141
123,0.39560372932921894,0.34638483750762117,0.395423017378666,0.40801742906744304
124,0.40492781851405407,0.35570114394003743,0.4048936858739149,0.41799418169906705
125,0.41372425676221664,0.3645104376232127,0.4139306724833949,0.4273653447604781
126,0.42196453866219585,0.3728340201028197,0.42245002946600263,0.4362201871468451
127,0.42971651548374473,0.3806561987364304,0.43044169934227045,0.44450365545082604
128,0.43699250081362967,0.38800137044835115,0.43796040399933284,0.4522681814673671
129,0.4438079407149165,0.3948993200796591,0.4450181608089544,0.45955103178439866
130,0.4501954460173955,0.40136496981184033,0.4516310725325105,0.46636869743773773
131,0.4561779504361001,0.40742337074768353,0.4578296780708786,0.47275039424884696
132,0.461777585368343,0.4130981719764929,0.46363551647926177,0.4787248331311696
133,0.4670186002742828,0.41841092837068183,0.46907042915363883,0.4843147498480117
134,0.47192282574279676,0.42338332745056084,0.4741575547265299,0.48954442887417915
135,0.4765108743019871,0.428036421137956,0.4789179705347461,0.4944368190025164
136,0.48080279435395906,0.43238978566395037,0.4833716592809417,0.49901295283472336
137,0.4848173111057317,0.43646222782438887,0.4875380129826853,0.5032929670466076
138,0.48857202886674544,0.44027152165921163,0.49143515179201464,0.507295877494738
139,0.4920835943256837,0.4438343766057698,0.4950801528140783,0.5110394040546806
140,0.4953676136425177,0.44716653503841997,0.49848914961178026,0.5145402396885249
141,0.4984387205256503,0.45028280096263884,0.5016772765609954,0.5178140439490416
142,0.5013106504598074,0.4531970547195411,0.5046587307439718,0.5208754709834125
